新欧尚餐厅,金鸡湖路205号欧尚超市二楼铺位号603-2001, WiFi 
石路新苏餐厅,广济南路219号新苏国际负1楼, WiFi 店内参观 
昆山陆家镇餐厅,昆山市陆家镇友谊路118号华润万家超市一楼, WiFi 全天营业 
凤凰餐厅,凤凰街与十梓街交叉路口, WiFi 全天营业 店内参观 生日餐会 
南通任港餐厅,崇川区任港路50号大润发1楼, WiFi 全天营业 店内参观 生日餐会 
吴中越溪餐厅,苏州吴中区越溪镇吴中大道1109号“南苏州生活广场”E幢B馆华润万家超市旁, WiFi 全天营业 生日餐会 
园区斜塘餐厅,工业园区莲葑路18号联丰商业广场4幢102世纪联华卖场内, WiFi 全天营业 店内参观 生日餐会 
汽车北站餐厅,西汇路29号汽车客运站2层, WiFi 
盐城迎宾路餐厅,亭湖区迎宾路宝龙广场一层, WiFi 全天营业 店内参观 生日餐会 
昆山千灯餐厅,昆山市千灯镇尚书路8号千灯大润发一层, WiFi 全天营业 生日餐会 
南通桃园路餐厅,桃园路１２号中南城购物中心负一楼, WiFi 店内参观 
盐城先锋餐厅,亭湖区建军西路与小海路交界处先锋国际广场商业中心大润发超市1层, WiFi 店内参观 
海安江海路餐厅,宁海南路2号文峰大世界购物中心2楼, WiFi 店内参观 
吴江运东餐厅,吴江经济开发区运东大道东侧江南奥斯卡5幢1层, WiFi 全天营业 店内参观 
昆山世贸餐厅,昆山市前进路中山路交汇处中茵世贸广场, WiFi 店内参观 
射阳人民路餐厅,射阳县人民路12号文峰超市一层, WiFi 全天营业 店内参观 
黄埭餐厅,相城区黄埭镇康阳路西136号, WiFi 全天营业 店内参观 
盛泽西环路餐厅,吴江市盛泽镇西环路西侧欧尚超一层, WiFi 全天营业 店内参观 生日餐会 
吴江车站餐厅,吴江市经济开发区二二七省道西、学院路东侧吴江汽车站内一层, WiFi 
园区星塘街餐厅,工业园区淞江路18号欧尚商业中心1栋1层1006号, WiFi 店内参观 生日餐会 
吴中香雪海餐厅,吴中区吴中大道168号香学海购物广场一楼, WiFi 全天营业 
昆山周市镇春晖路餐厅,昆山市周市镇春晖路758号望族商城一层, WiFi 全天营业 店内参观 生日餐会 
黄海路餐厅,响水县黄海路与滨江路交界127号, WiFi 全天营业 店内参观 生日餐会 
星海街餐厅,工业园区星海街199号星海生活广场北区负一楼B115, WiFi 店内参观 
新石路国际餐厅,石路18号石路国际商厦负一层, WiFi 
如皋益寿路餐厅,中山西路1号正翔广场1楼, WiFi 全天营业 店内参观 
学府餐厅,高新区（科锐路东学新路南学府路北）汇金商业广场11幢, WiFi 店内参观 
广济南路餐厅,金阊区广济南路19号大润发一层, WiFi 全天营业 
吴江汾湖餐厅,吴江市汾湖镇杭州路北侧TESCO乐购超一层, WiFi 店内参观 生日餐会 
渭塘餐厅,相城区渭塘镇渭星街288号2幢104室一层、二层，105室一层、二层, WiFi 全天营业 店内参观 生日餐会 
海门叠石桥餐厅,叠石桥家纺城大岛路和秀女路交叉口, WiFi 全天营业 店内参观 生日餐会 
相城玛特餐厅,相城区元和街道华元路918号101室一层, WiFi 全天营业 店内参观 
吴中车站餐厅,吴中经济开发区广建路10号苏州吴中汽车客运站一二层, WiFi 全天营业 店内参观 
金港润发餐厅,张家港市金港镇黄泗浦西路1号大润发超市内肯德基餐厅, WiFi 生日餐会 
园区玲珑餐厅,工业园区玲珑街58号1栋101, WiFi 店内参观 生日餐会 
张家港杨舍餐厅,张家港市杨舍镇梁丰路南侧杨舍老街1#-10#（园林路、梁丰路、焦家弄、向阳弄围合区内杨舍老街商业步行街）, WiFi 全天营业 店内参观 生日餐会 
南通龙王桥餐厅,工农路259号利群时代超市1楼, WiFi 全天营业 店内参观 
昆山世茂润发餐厅,昆山市前进东路南侧夏驾河东侧昆山世茂广场一层, WiFi 全天营业 店内参观 生日餐会 
太仓港区餐厅,太仓市太仓港港口开发区龙江路东侧、映雪路北侧“太仓邻里中心”肯德基餐厅, WiFi 店内参观 生日餐会 
昆山汽车站餐厅,昆山市开发区柏庐南路788号4号房昆山汽车客运中心站一层, WiFi 店内参观 
太仓新区东亭路餐厅,太仓市娄江路与县府街交叉口西南侧（太仓新区上海路北、东亭路东地块）万达广场, WiFi 店内参观 生日餐会 
盛泽春之声餐厅,吴江市盛泽镇北观音弄38号春之声商业广场一层, WiFi 全天营业 店内参观 生日餐会 
阳澄湖餐厅,相城区阳澄湖中路29号中环百汇广场1-6户, WiFi 全天营业 店内参观 
盐城解放润发餐厅,盐都区解放南路239号大润发超市一楼肯德基, WiFi 全天营业 店内参观 生日餐会 
园区时尚餐厅,工业园区唯亭镇后戴街9号, WiFi 
桐泾北路餐厅,桐泾北路218号来客茂时尚生活中心一二层, WiFi 全天营业 店内参观 生日餐会 
园区东沙湖餐厅,工业园区钟南街东的东沙湖邻里中心西南角一层、二层, WiFi 店内参观 生日餐会 
园区车坊餐厅,苏州工业园区普惠路1089号（星湖财富广场）2幢107-108室一二层和2幢106的二层商铺, WiFi 全天营业 店内参观 生日餐会 
昆山陆家乐购餐厅,昆山市陆家镇陆家浜北路东侧乐购超一层, WiFi 店内参观 生日餐会 
浒关保卫路餐厅,浒墅关保卫路33、35号（华润万家购物中心）一层、二层, WiFi 全天营业 店内参观 生日餐会 
胥口帝豪餐厅,胥口镇孙武路北侧、香泾路东侧“帝豪家缘”商业一层, WiFi 全天营业 店内参观 生日餐会 
南通城山路餐厅,城山路100号苏果超市一楼, WiFi 店内参观 生日餐会 
盐城汽车站餐厅,青年东路22号五星客运站内, WiFi 
昆山洞庭湖路餐厅,昆山市洞庭湖路288号中航城华润万家一层, WiFi 店内参观 生日餐会 
苏站精选餐厅,苏站路27号苏州站2F层候车室2A检票口（高铁动车南京方向）, WiFi 
南站精选餐厅,南环东路601号二层, WiFi 
汽车南站精选餐厅,常熟市招商东路1号, WiFi 全天营业 生日餐会 
常熟虞景文华餐厅,常熟市北门大街虞景文华广场内34-35号, WiFi 全天营业 店内参观 
方洲餐厅,工业园区方洲路528号方洲邻里中心, WiFi 全天营业 生日餐会 
园区泾园餐厅,工业园区扬东路277号新屹大厦1幢102室一层, WiFi 
东湖餐厅餐厅,灵山大街276号银座商城地上一层、二层, WiFi 生日餐会 
新华二餐厅餐厅,新华路66号新建三期一、二层及原超市一层部分面积, WiFi 生日餐会 
胶南珠山餐厅餐厅,黄岛区灵山湾路198号, WiFi 
苗岭路餐厅餐厅,崂山区秦岭路18号, WiFi 店内参观 生日餐会 
华光餐厅餐厅,华光路86号大福源超市1F, WiFi 
济南新泉城餐厅,历下区泉城路185号新华书店一层二层, 生日餐会 
沂蒙餐厅餐厅,红旗路11号银座商城1楼, WiFi 店内参观 生日餐会 
金雀山餐厅餐厅,兰山区金雀山一路71号, WiFi 店内参观 生日餐会 
莱芜钢城餐厅餐厅,钢城区钢都大街金茂广场一层、二层, WiFi 店内参观 生日餐会 
中兴路肯德基餐厅餐厅,中兴路金三角一楼肯德基中兴餐厅, WiFi 全天营业 店内参观 生日餐会 
大统餐厅餐厅,人民路二号大统百货一楼, WiFi 全天营业 生日餐会 
双丰餐厅餐厅,曙光街与光明路交叉口双丰商城一楼, WiFi 店内参观 生日餐会 
体育餐厅餐厅,体育路文化宫肯德基餐厅, WiFi 店内参观 生日餐会 
新华餐厅餐厅,新华路与工业路交叉口新华城市广场肯德基餐厅, WiFi 店内参观 生日餐会 
平度帝王餐厅餐厅,平度市李园街道缔王广场肯德基（红旗路164号）, 生日餐会 
诸城市柏斯奇餐厅餐厅,诸城市广场路20号（老百盛一楼肯德基）, WiFi 店内参观 生日餐会 
高密振兴餐厅餐厅,高密市利群路北首(金孚隆广场一层肯德基), WiFi 店内参观 生日餐会 
诸城和平餐厅餐厅,和平街与密州路交叉口（和平街1号）, 店内参观 生日餐会 
莱阳旌旗餐厅餐厅,城厢街道旌旗西路328号（人民商场一层肯德基餐厅）, 生日餐会 
学院路餐厅,圣城街与学院路交界处东北角被称为“全福元商场”一层、二层, WiFi 店内参观 生日餐会 
北街餐厅,北街路38号凌云大厦一层、二层, WiFi 店内参观 生日餐会 
兴隆路餐厅,市北区兴隆路9号新源超市一层部分房产, WiFi 店内参观 生日餐会 
泰客荣餐厅,桓公路103号一层、二层的房产, WiFi 店内参观 生日餐会 
苹果城餐厅,历山路118号文华园底层商业苹果城地下一层和一层的房产, WiFi 店内参观 生日餐会 
长城路餐厅,长城南路宝龙城市广场大润发次入口附近一层的房产, WiFi 店内参观 生日餐会 
兴隆中路餐厅,山东市民主路以东、骈邑路以西、兴隆路以北的房产一、二层, WiFi 店内参观 生日餐会 
世纪路餐厅,齐河县城齐鲁大街西首路南世纪路西侧德百新时代购物广场中心一层的房产, WiFi 店内参观 生日餐会 
兖州贵和餐厅,兖州市建设东路399号华勤紫金广场一层的房产, WiFi 店内参观 生日餐会 
舜师路餐厅,开发区舜师路东段路北环亚府东商城一层, WiFi 店内参观 生日餐会 
和谐广场餐厅,兰山区解放路与通达路交汇处西南角解放路158号一号楼和谐广场负一楼B103-B105室, WiFi 店内参观 生日餐会 
建设路餐厅餐厅,费县费城镇建设路百姓购物广场1、2层, WiFi 店内参观 生日餐会 
乐客城餐厅,夏庄路7号负一层, WiFi 店内参观 生日餐会 
前进街餐厅餐厅,城前进街北首路东紫金购物广场中心一层, WiFi 店内参观 生日餐会 
北园大街餐厅餐厅,北园大街225号红星美凯龙一层, WiFi 店内参观 
迎宾餐厅餐厅,迎宾路200号荣盛购物中心一层, WiFi 店内参观 生日餐会 
嘉祥银座餐厅餐厅,呈祥路与演武路交汇处西南角嘉祥银座一层、二层, WiFi 店内参观 生日餐会 
会展中心餐厅,仙霞岭路27号地下一层西南角的房产, WiFi 店内参观 生日餐会 
国贸餐厅,郯城路6号, WiFi 全天营业 
和平餐厅,和平路27号, WiFi 全天营业 
青岛肯德基有限公司烟台市分公司餐厅,大海阳路166号大润发东侧一层肯德基, WiFi 全天营业 生日餐会 
香港中路餐厅,香港中路86号, WiFi 
小村庄餐厅,四方利群购物广场1F, WiFi 
洪楼餐厅,历城区花园路99号1F, WiFi 店内参观 生日餐会 
文东餐厅,文化西路1号, WiFi 生日餐会 
即墨餐厅,鹤山路326乙-3, WiFi 全天营业 店内参观 生日餐会 
长江餐厅,经济技术开发区长江中路378号, WiFi 生日餐会 
太白餐厅,太白中路26号西银座一楼, WiFi 全天营业 生日餐会 
郑西餐厅,胶州市郑州西路14号, WiFi 生日餐会 
新兴餐厅,山东路128号家乐福一层, WiFi 店内参观 
田家村餐厅,市南区宁夏路162号肯德基, WiFi 店内参观 生日餐会 
南京路餐厅,南京路99号一层肯德基, WiFi 生日餐会 
东营银座餐厅,济南路296号西城银座一层肯德基, WiFi 全天营业 生日餐会 
太平餐厅,太平西路1288号一层, WiFi 全天营业 店内参观 生日餐会 
长途站餐厅,济泺路131号一层, WiFi 
圣城餐厅,圣城路412号一层, WiFi 生日餐会 
北关餐厅,北关路686号利群商场一层肯德基, WiFi 全天营业 生日餐会 
幸福餐厅,幸福中路60号一层, WiFi 生日餐会 
海滨餐厅,海滨北路128号,面临青岛路一层, WiFi 店内参观 生日餐会 
北园餐厅,北园大街483号北园银座购物广场一层, WiFi 全天营业 店内参观 生日餐会 
东营西城餐厅,济南路237号供销商场1层, WiFi 店内参观 生日餐会 
招远金城餐厅,招远市温泉路259号温泉商厦一层肯德基, WiFi 全天营业 店内参观 生日餐会 
莱西月湖餐厅,莱西市烟台路62号利客来购物中心一层, WiFi 全天营业 生日餐会 
淄博中心餐厅,商场东路2号利群购物广场1层, WiFi 全天营业 店内参观 生日餐会 
莱州路餐厅,文化东路利群购物广场1层, WiFi 全天营业 生日餐会 
彩云城餐厅,长江路18号1-2层, WiFi 全天营业 店内参观 生日餐会 
城阳华城餐厅,崇阳路491号一层, WiFi 店内参观 
青州益都餐厅,尧王山东路88号一层, WiFi 全天营业 店内参观 生日餐会 
长江二餐厅,长江中路419号T117-118, WiFi 生日餐会 
昆嵛餐厅,文登区文山路36-3号万春百货一、二层, WiFi 全天营业 店内参观 生日餐会 
极地餐厅,崂山区东海东路60号2层, WiFi 
家佳源餐厅,正阳路136号一层, WiFi 全天营业 生日餐会 
济南火车站一餐厅,车站街16号天龙大厦地上一层/地下一层, WiFi 全天营业 
辽阳餐厅,辽阳西路369号卜蜂莲花超市一层肯德基, WiFi 生日餐会 
黄山餐厅,黛溪三路138号圣豪时尚广场一楼, WiFi 店内参观 生日餐会 
海蔚餐厅,花园路101号, 全天营业 生日餐会 
西三路餐厅,西三路22号银座商城一层, WiFi 生日餐会 
翔川餐厅,妙镜路1118号E号商铺, WiFi 店内参观 
动力南广场（汇金奥特莱斯B1层）餐厅,石龙路750-3号上海南站地下商场南馆, WiFi 店内参观 
威宁餐厅,天山路352号101和201, WiFi 店内参观 生日餐会 
思贤餐厅,思贤路778--780号, WiFi 
惠乐餐厅,惠南镇人民西路955号, WiFi 店内参观 生日餐会 
真北餐厅,桃浦路328号, WiFi 店内参观 
马陆弘基餐厅,马陆镇沪宜公路2398/2400号, WiFi 生日餐会 
银霄餐厅,银霄路393号百安居龙阳店一层, WiFi 店内参观 生日餐会 
吴中餐厅,吴中路1109号一层A商铺, WiFi 全天营业 店内参观 
阳光港餐厅,佘山林湖路888号-1阳光港区9号, 店内参观 
年家浜餐厅,周浦镇沪南公路3449弄1幢32号236-1,236-2号、240号, WiFi 
三阳餐厅,南京东路626-636号一层和二层, WiFi 店内参观 
长岛餐厅,长岛路1150号1层, WiFi 店内参观 
金桥餐厅,张杨路3611弄1号123,124,216室, WiFi 
保乐餐厅,闵行华漕镇繁兴路399弄2号, WiFi 全天营业 店内参观 生日餐会 
名都餐厅,莘朱路168号B1, WiFi 生日餐会 
香港广场餐厅,淮海中路282号香港广场商场北座地下一层NBL04室, WiFi 
高青餐厅,长清路1200弄大润发肯德基, WiFi 生日餐会 
谷阳餐厅,松汇中路568号上海鹿都商业广场, WiFi 店内参观 生日餐会 
南广场餐厅,秣陵路303号上海火车站西南出口一侧, WiFi 
锦尊餐厅,成山路1957号、锦尊路499弄2号203，204室, WiFi 店内参观 生日餐会 
机场西楼到达餐厅,虹桥机场西航站楼到达层, WiFi 
北广场餐厅,秣陵路303号上海站北广场北立面1F大厅入口西侧位置, WiFi 
东安路站餐厅,东安路270号轨道交通七号线东安路站站厅层, WiFi 店内参观 生日餐会 
坂桥餐厅,卫清西路168弄99号一层B103及B104, WiFi 店内参观 
新天山餐厅,天山路900号118号商铺1层+B1层, 店内参观 
虹桥高铁餐厅,虹桥火车站到达层B1-5~B1-8号商铺虹桥高铁餐厅, WiFi 店内参观 
磁浮精选餐厅,机场站磁悬浮站第二层编号为A07商铺, WiFi 
南站精选（火车站站内）餐厅,沪闵路9001号上海南站候车大厅, WiFi 店内参观 
塘桥餐厅,浦建路15号, WiFi 全天营业 店内参观 生日餐会 
百齐餐厅,南桥镇百齐路228、288号1层, WiFi 店内参观 
金谊餐厅,上南路4467弄20号, WiFi 店内参观 
蒙山餐厅,卫清西路477号, WiFi 店内参观 生日餐会 
永业餐厅,蒙自路25号, WiFi 店内参观 
泗宝餐厅,泗泾镇横港路18弄68号1层1号商铺, WiFi 店内参观 
中华新餐厅,静安区中华新路567号, WiFi 店内参观 生日餐会 
美兰餐厅,罗芬路1088号, WiFi 店内参观 生日餐会 
莘龙餐厅,沪闵路6088号, WiFi 店内参观 
叶榭餐厅,叶榭镇求仁路149号1层, WiFi 店内参观 生日餐会 
光大餐厅,漕宝路78号, WiFi 
龙翔餐厅,蒙山北路399号, WiFi 店内参观 生日餐会 
高行餐厅,东靖路1881号万嘉商业广场1963/1969号, WiFi 店内参观 生日餐会 
金运餐厅,金沙江西路1051弄1063室, WiFi 店内参观 
顾村餐厅,水产西路957号, WiFi 全天营业 
昌里餐厅,上南路1160号, WiFi 全天营业 
虹许餐厅,吴中路729苏宁电器一层, WiFi 全天营业 店内参观 
曹安餐厅,曹安公路1588号, WiFi 
华新餐厅,华新镇华强街239号B02商铺中1、2层, WiFi 店内参观 生日餐会 
长风大悦城餐厅,大渡河路196号, WiFi 店内参观 生日餐会 
新宜街餐厅,宜山路700号84幢A1号楼商铺101-102, WiFi 店内参观 
秀山餐厅,番愚路872号一层, WiFi 
中兴餐厅,秣陵路303号新客站北广场站屋一层, WiFi 
古棕餐厅,古棕路574号, WiFi 生日餐会 
安亭新镇餐厅,安亭镇墨玉南路1055号嘉亭荟生活广场110室, WiFi 店内参观 
西渡餐厅,西渡沪杭公路238弄（近西闸路）连城商业广场1号, WiFi 店内参观 生日餐会 
嘉定城北餐厅,平城路1188号, WiFi 
宝山万达餐厅,高镜镇0006街坊2/1丘（万达广场401-2商铺）, WiFi 店内参观 
芷江餐厅,静安区芷江西路398号, WiFi 店内参观 生日餐会 
城湘餐厅,梅家浜路1500弄101号, WiFi 
亭坊餐厅,九亭镇涞坊路589号, WiFi 店内参观 生日餐会 
恒达广场餐厅,白丽路263-267号, WiFi 店内参观 生日餐会 
长江南路餐厅,长江南路5号, WiFi 店内参观 
新南餐厅,新桥镇明兴路口家乐福新南路购物中心101号商铺, WiFi 店内参观 生日餐会 
上丰餐厅,上丰路1772-1784号一层, WiFi 生日餐会 
江文餐厅,江文路589号一层A商铺, WiFi 店内参观 生日餐会 
合庆餐厅,合庆镇庆南路8号, WiFi 店内参观 生日餐会 
亭枫餐厅,朱泾镇沈浦泾路28号, WiFi 
枫泾餐厅,枫泾镇白牛路280号, WiFi 生日餐会 
车墩餐厅,车墩镇影维路258弄2号一、二层, WiFi 店内参观 生日餐会 
华泾餐厅,华泾路509号7栋101商铺, WiFi 店内参观 生日餐会 
鸿音餐厅,南汇南芦公路1755号4-5幢, WiFi 店内参观 生日餐会 
奉城餐厅,奉城镇城大路115号, WiFi 店内参观 
沪松DT餐厅,松江荣乐东路1595号, WiFi 店内参观 
黄渡DT餐厅,曹安公路4671号, WiFi 店内参观 生日餐会 
前门餐厅,西城区前门西大街正阳市场1号楼中部, WiFi 
京源餐厅,左家庄新源街24号, WiFi 生日餐会 
东大桥餐厅,朝外大街东大桥路1号楼, WiFi 店内参观 
安定门餐厅,安定门外大街西河沿13号楼, WiFi 生日餐会 
展览路(德宝)餐厅,西外大街德宝新园14号, WiFi 店内参观 
劲松餐厅,劲松4区401楼, WiFi 全天营业 店内参观 生日餐会 
西罗园餐厅,西罗园4区南二段, WiFi 店内参观 生日餐会 
蓝桥餐厅,工体北路11－1号, WiFi 全天营业 
万惠餐厅,金台里甲15号, WiFi 生日餐会 
团结湖餐厅,团结湖路7号, WiFi 全天营业 店内参观 
花园路餐厅,海淀区花园北路44号贯通大厦一层, WiFi 全天营业 店内参观 
新街口餐厅,新街口北大街50号, WiFi 店内参观 生日餐会 
国展餐厅,静安西街10号国展宾馆一层, WiFi 店内参观 
建华餐厅,王府井大街192号, WiFi 
地安门餐厅,地安门外大街178号, WiFi 店内参观 
东单餐厅,东城区东单北大街63号, WiFi 全天营业 店内参观 
通州餐厅,新华大街84号, WiFi 生日餐会 
海淀镇餐厅,海淀街道草场1号, WiFi 全天营业 店内参观 
崇文门餐厅,崇文门外大街3号新世界商场一期北侧一层, WiFi 
苏州桥餐厅,万泉河路68号紫金大厦一层北侧, WiFi 全天营业 店内参观 生日餐会 
双榆树餐厅,北三环西路48号1#楼FA8商铺, WiFi 全天营业 店内参观 
天坛东路餐厅,天坛东路甲48号, WiFi 店内参观 
紫竹桥餐厅,海淀区北洼路4号, WiFi 店内参观 
大兴餐厅,黄村卫星城兴丰街15号，星城商厦一层北侧, WiFi 全天营业 店内参观 生日餐会 
昌平（新世纪商城）餐厅,新世纪商城鼓楼南大街, WiFi 全天营业 店内参观 
松榆里餐厅,松榆里28号楼松榆里商场一层北侧, WiFi 全天营业 店内参观 生日餐会 
白石桥餐厅,白石桥路甲54号家乐福超市一层西侧, 店内参观 
右安门餐厅,右安门大街2号迦南公寓C座一层西部, WiFi 店内参观 
魏公村餐厅,魏公村路5号, WiFi 
复兴门餐厅,复兴门外大街8号楼裙楼二层, WiFi 店内参观 生日餐会 
羊坊餐厅,复兴路12号恩菲科技大厦, WiFi 店内参观 
延庆餐厅,东外大街4号中踏肯德基, WiFi 全天营业 店内参观 生日餐会 
万商餐厅,石景山路22号万商大厦一层圆弧西侧, 店内参观 
房山餐厅,城关南大街2号, WiFi 全天营业 店内参观 生日餐会 
南苑餐厅,南大红门路15号南部现梅源市场1层北侧, WiFi 
育慧里餐厅,小营东路3号北京凯基伦购物中心一层西侧, WiFi 全天营业 店内参观 
三里河餐厅,月坛南街乙71号, WiFi 店内参观 生日餐会 
密云餐厅,鼓楼南大街10号, WiFi 店内参观 生日餐会 
丰台餐厅,西四环南路甲88号, WiFi 店内参观 生日餐会 
良乡餐厅,良乡楸树街38号（良乡富华冠购物中心）, WiFi 全天营业 店内参观 
中福百货餐厅,望京南湖东园201楼一层, WiFi 全天营业 
上地餐厅,上地东里一区4号楼一层西厅中部, WiFi 全天营业 店内参观 生日餐会 
京通新城餐厅,朝阳路杨闸环岛西北京通苑30号楼一层南侧, WiFi 全天营业 店内参观 生日餐会 
和义餐厅,南苑北里小区二区6号楼一层东南侧, WiFi 店内参观 生日餐会 
旧宫餐厅,旧宫镇旧宫西路3号物美超市一层东南侧, WiFi 全天营业 店内参观 生日餐会 
平谷餐厅,平谷区新平北路56-1（世纪广场东侧）, WiFi 全天营业 店内参观 生日餐会 
甘家口餐厅,百万庄大街41号华德商都写字楼北侧一层及二层, WiFi 店内参观 生日餐会 
石佛营餐厅,石佛营东里117号楼首层, WiFi 全天营业 店内参观 生日餐会 
门头沟餐厅,门头沟路1号首层, WiFi 全天营业 店内参观 
世都百货餐厅,王府井大街99号世纪大厦首层、地下一层, WiFi 店内参观 
云岗餐厅,云岗西路5号首层西侧, WiFi 全天营业 店内参观 生日餐会 
板井路餐厅,远大路远大居住区二期世纪金源大酒店一层东南角, WiFi 店内参观 生日餐会 
珠市口餐厅,东城区珠市口大都市街南八幢一层西侧, WiFi 
通州新华大街餐厅,新华大街西街56号一层, WiFi 全天营业 店内参观 生日餐会 
五道口餐厅,海淀区成府路35号东源大厦西侧一层, WiFi 全天营业 店内参观 
马莲道餐厅,马莲道路11号, WiFi 店内参观 生日餐会 
白广路餐厅,白广路北口综合服务楼2楼首层, WiFi 店内参观 
西客站餐厅,莲花池东路31号, WiFi 全天营业 
黄寺大街餐厅,黄寺大街15号北京城乡黄寺商厦, WiFi 店内参观 生日餐会 
光明楼餐厅,光明路13号天玉大厦一、二层, WiFi 店内参观 生日餐会 
白纸坊餐厅,建功南里3号楼首层, WiFi 全天营业 店内参观 生日餐会 
中关村广场餐厅,西区家乐福B2, WiFi 店内参观 
樱花园东街餐厅,朝阳区樱花东街5号, WiFi 全天营业 店内参观 生日餐会 
站前街餐厅,建国门内大街18号恒基商场首层南侧40-43号商铺, WiFi 店内参观 生日餐会 
牡丹园餐厅,花园路2号一层西侧, WiFi 全天营业 店内参观 生日餐会 
光彩路餐厅,光彩路慧时欣园10号楼一层, WiFi 全天营业 店内参观 生日餐会 
高桥餐厅,东二环一段高桥大市场西578号, WiFi 生日餐会 
慈利芙蓉餐厅,零阳镇东街177号, WiFi 店内参观 生日餐会 
蝴蝶餐厅,五一西路78号, WiFi 全天营业 店内参观 
银盆路餐厅,湖南银双路奥克斯广场一楼餐厅, WiFi 店内参观 生日餐会 
黄河路餐厅,黄河路与天台路交叉口天虹百货楼下肯德基餐厅, WiFi 全天营业 店内参观 生日餐会 
一百餐厅,巴陵中路18号岳阳一百大厦一楼, WiFi 全天营业 
衡阳青松餐厅,经济开发区步步高商场一层, WiFi 店内参观 生日餐会 
人民餐厅,人民路下南门肯德基, WiFi 全天营业 店内参观 生日餐会 
阿波罗广场餐厅,八一路1号, WiFi 全天营业 店内参观 
中央广场餐厅,芙蓉中路238号芙蓉广场首层, WiFi 店内参观 生日餐会 
衡百餐厅,解放路45号, WiFi 全天营业 生日餐会 
解放西路餐厅,天心区黄兴南路445号, WiFi 全天营业 生日餐会 
鹤州餐厅餐厅,人民南路118号（鹤州路邮政局旁）, WiFi 生日餐会 
星沙餐厅,星沙镇长沙通程商业广场, WiFi 全天营业 店内参观 
汇泽餐厅,东茅岭路42号岳阳汇泽商业文化广场, WiFi 全天营业 店内参观 生日餐会 
桐梓坡餐厅,湖南桐梓坡路星电光城一层, WiFi 店内参观 生日餐会 
朝阳餐厅,朝阳广场步步高百货一层, WiFi 全天营业 店内参观 生日餐会 
韶山餐厅,车站路28号, WiFi 店内参观 生日餐会 
国庆餐厅,湖南人民东路1号, WiFi 全天营业 生日餐会 
响石路餐厅,响石广场, WiFi 全天营业 生日餐会 
黄兴中路餐厅,黄兴中路王府井百货一楼, WiFi 全天营业 店内参观 
衡阳岳屏餐厅,仙姬巷33号, WiFi 店内参观 生日餐会 
衡阳莲湖广场餐厅,向农路35-121号香江百货蒸北购物广场一层, WiFi 店内参观 生日餐会 
赤岗冲餐厅,劳动路117号, WiFi 生日餐会 
张家界文昌阁餐厅,解放路18号永昌商城, WiFi 全天营业 店内参观 生日餐会 
红旗餐厅,红旗中路东都文化广场步步高百货一楼, WiFi 全天营业 生日餐会 
林院餐厅,韶山路496号中南林院, WiFi 生日餐会 
泰和餐厅,巴陵路泰和商业广场, WiFi 全天营业 店内参观 生日餐会 
新世界餐厅,黄兴中路84号平和堂南侧苏宁电器一楼, WiFi 
西站餐厅,望城坡经济开发区湘浙小商品批发市场, WiFi 店内参观 
临江公园餐厅,九重天花园一层, WiFi 店内参观 生日餐会 
青龙桥餐厅,东风路338号, WiFi 全天营业 生日餐会 
雨花亭餐厅,韶山中路421号凯德广场一楼, WiFi 店内参观 生日餐会 
